Stock,Price,Beta,Volume,Avg 3 Month Vol,Market Cap,P/E,EPS,MR This Week,MR Last Week,Change,Mean Target,Median Target,High Target,Low Target,Num Brokers
LIFE,75.82,1.46,"1,023,594","1,157,250",13.10B,27.92,2.72,3.0,3.0,0.0,74.53,76.00,76.00,56.00,15
BOCH,5.63,1.06,"15,460","26,422",80.36M,12.60,0.45,3.0,3.0,0.0,N/A,N/A,N/A,N/A,N/A
TPLM,8.14,3.29,"1,394,384","1,603,950",696.96M,23.66,0.34,1.9,1.9,0.0,11.54,11.00,15.00,9.50,12
SBRA,25.97,1.75,"299,280","281,979",983.77M,64.92,0.40,1.9,1.9,0.0,30.33,30.00,36.00,25.00,6
GTIV,12.00,2.27,"153,444","207,602",435.18M,N/A,-6.13,3.3,3.3,0.0,11.90,13.00,15.50,7.00,5
NYH,11.04,N/A,"3,779","15,087",0,0,0,0,0,0
RTK,1.79,3.38,"1,719,290","2,261,040",406.00M,N/A,-0.05,1.5,1.5,0.0,2.53,2.50,3.10,2.00,4
ERII,5.39,-0.23,"649,676","507,741",275.50M,N/A,-0.24,3.0,3.0,0.0,4.41,4.80,5.75,2.00,5
ORMP,18.01,0.47,"1,272,190","284,390",143.13M,N/A,-0.59,2.0,2.0,0.0,25.00,25.00,25.00,25.00,1
ERIE,72.04,0.53,"25,910","22,543",3.79B,24.28,2.97,2.0,2.0,0.0,73.00,73.00,73.00,73.00,1
NRCIA,18.21,1.087,"4,423","17,210",439.17M,28.95,0.63
ERIC,11.86,1.39,"2,950,154","3,627,140",38.28B,N/A,-0.04,2.3,2.3,0.0,13.77,13.77,17.30,9.07,14
NRCIB,34.69,1.09,381,"10,678",836.62M,55.15,0.63,3.0,3.0,0.0,N/A,N/A,N/A,N/A,N/A
POPE,66.30,0.4,992,"1,743",289.86M,32.64,2.03,N/A,N/A,N/A,15.00,15.00,15.00,15.00,1
VRTA,1.77,0.18,"27,958","7,873",10.23M,N/A,-0.03,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
VRTB,1.75,1.18,"25,790","17,203",19.76M,N/A,-1.29
SCLN,5.13,1.65,"104,257","207,554",272.54M,22.40,0.23,2.0,2.0,0.0,8.00,8.00,8.00,8.00,1
SPU,1.79,1.22,"55,518","31,251",47.72M,2.94,0.61,3.0,3.0,0.0,4.00,4.00,4.00,4.00,1
TINY,3.00,1.82,"75,686","99,562",93.48M,N/A,-0.65,2.0,2.0,0.0,4.00,4.00,4.00,4.00,1
PHMD,13.40,-0.03,"407,233","205,932",267.76M,13.54,0.99,1.6,1.6,0.0,18.42,18.00,23.00,15.00,6
PTNR,9.00,2.32,"59,134","80,294",1.40B,28.30,0.32,1.0,2.0,22.00,22.00,22.00,22.00,1
VTHR,85.12,612.40M,"4,587","3,452",0,0,0,0,0,0
PTNT,3.16,0.72,133,"21,471",24.49M,N/A,-0.37,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BSDM,1.29,0.76,"192,073","169,837",43.84M,N/A,-0.26,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ALNY,63.14,2.69,"340,279","730,090",4.00B,N/A,-2.03,2.0,2.0,0.0,69.13,66.50,82.00,54.00,8
VRTS,204.27,1.7,"65,096","52,111",1.86B,26.47,7.72,3.0,3.0,0.0,211.67,215.00,215.00,205.00,3
VRTU,36.71,2.01,"117,143","109,324",971.86M,30.39,1.21,1.9,1.9,0.0,35.33,35.50,45.00,23.00,6
GV,2.22,2.71,"658,107","146,421",56.50M,8.54,0.26,2.0,2.0,0.0,N/A,N/A,N/A,N/A,N/A
GT,23.37,2.16,"1,995,514","3,635,710",5.77B,15.45,1.51,2.2,2.2,0.0,23.00,27.00,29.00,11.00,7
MEIL,3.49,N/A,"19,979","37,784",24.45M,N/A,-0.81
XPL,0.87,1.77,"7,123","29,067",32.35M,N/A,-0.07,2.0,2.0,0.0,1.75,1.75,1.75,1.75,1
NYV,13.56,N/A,"1,448","14,206",0,0,0,0,0,0
CBLI,1.20,2.64,"120,527","140,362",54.22M,N/A,-0.31,1.5,1.5,0.0,4.00,4.00,4.00,4.00,1
CCUR,8.06,-0.15,"11,060","49,725",71.73M,15.56,0.52,3.0,3.0,0.0,8.00,8.00,8.00,8.00,1
TBOW,1.33,1.15,"42,036","128,130",48.95M,8.31,0.16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NWBOW,2.90,N/A,"4,688","10,252",0,0,0,0,0,0
MNKD,5.40,0.85,"8,253,986","4,782,240",1.63B,N/A,-0.70,2.6,2.6,0.0,7.68,6.25,12.50,5.00,7
OSBCP,12.20,N/A,0,"6,148",0,0,0,0,0,0
RDWR,17.66,1.69,"215,137","231,502",791.73M,39.24,0.45,1.8,1.8,0.0,18.57,20.00,21.00,15.00,7
SBSI,26.94,0.76,"45,163","48,629",482.23M,14.08,1.91,3.0,3.0,0.0,26.00,26.00,28.00,24.00,2
MEIP,7.87,-0.62,"37,061","147,352",169.15M,N/A,-1.00,1.5,1.5,0.0,15.67,15.00,20.00,12.00,3
GLADP,25.57,N/A,"5,876","1,633",0,0,0,0,0,0
GK,62.42,1.65,"54,221","77,279",1.24B,25.46,2.45,2.3,2.3,0.0,68.20,68.00,72.00,65.00,5
REMY,21.77,1.72,"23,712","48,870",696.77M,17.56,1.24,2.0,2.0,0.0,25.00,25.00,25.00,25.00,1
MAR,48.65,1.27,"1,248,205","2,340,760",14.57B,23.41,2.08,2.4,2.4,0.0,48.32,48.00,57.00,41.00,28
MAT,46.87,0.68,"3,743,516","2,432,180",15.86B,19.61,2.39,2.3,2.3,0.0,47.73,48.00,55.00,40.00,11
AMCX,66.71,1.02,"441,277","809,087",4.82B,17.91,3.72,2.1,2.1,0.0,77.06,77.00,84.00,72.00,17
UIHC,13.19,0.53,"95,630","67,670",212.74M,14.21,0.93,2.5,2.0,0.5,13.00,13.00,15.00,11.00,2
EBMT,10.91,0.23,"1,050","9,163",42.54M,19.49,0.56,1.0,1.0,0.0,14.00,14.00,14.00,14.00,1
AMCO,0.31,2.82,"270,569","188,163",8.53M,N/A,-0.13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AMCN,2.13,1.1,"813,527","434,884",127.46M,N/A,-0.14,2.0,2.0,0.0,1.95,1.95,1.95,1.95,1
